WMO ID,DATA TIMESTAMP,TEMPERATURE 07LT C,TEMPERATURE 13LT C,TEMPERATURE 18LT C,TEMPERATURE AVG C,TEMP 24H MIN C,TEMP 24H MAX C,RAINFALL 24H MM,SUNSHINE 24H H,WEATHER SPECIFIC,QFF 24H MEAN MB,REL HUMIDITY 07LT PC,REL HUMIDITY 13LT PC,REL HUMIDITY 18LT PC,REL HUMIDITY AVG PC,WIND SPEED 24H MAX MS,WIND DIR 24H MAX DEG,WIND SPEED 24H MEAN MS,WIND DIR 24H CARDINAL
96017,2023-01-01 00:00:00,22.4,30,28.8,25.9,22.4,30.8,,8.4,-,1014.5,97,63,74,82.75,4.6,140,2.6,SE
96017,2023-01-02 00:00:00,22.5,30.8,28,25.95,22.5,30.8,8888,8.1,No significant weather,1015.1,96,57,76,81.25,4.6,130,2.6,SE
96017,2023-01-03 00:00:00,22.8,31.2,28.4,26.3,22.8,31.8,,8.7,No significant weather,1014.7,95,60,77,81.75,4.1,140,2.8,SE
96017,2023-01-04 00:00:00,23.2,31.8,29.4,26.9,23.2,32.6,0,7.7,No significant weather,1014.2,95,62,69,80.25,4.6,130,2.9,SE
96017,2023-01-05 00:00:00,23.5,31.4,28.6,26.75,23.5,32,0,9.5,No significant weather,1013.9,93,65,75,81.5,5.1,120,3.3,SE
96017,2023-01-06 00:00:00,22.4,31.2,28.6,26.15,22.4,31.5,,5.9,No significant weather,1014.8,93,60,72,79.5,4.1,130,2.4,SE
96017,2023-01-07 00:00:00,23.2,27.8,26.5,25.175,23.2,29,0,5.3,No significant weather,1014.5,95,82,89,90.25,2.1,140,1.3,SE
96017,2023-01-08 00:00:00,22,30.2,28.6,25.7,22,30.6,1.5,1.5,-,1014.3,96,67,76,83.75,2.1,120,1.6,SE
96017,2023-01-09 00:00:00,21.6,30.9,28.4,25.625,21.6,31.4,0,7.8,No significant weather,1014.8,97,60,75,82.25,3.6,320,2.2,SE
96017,2023-01-10 00:00:00,21.5,30.8,28.1,25.475,21.5,30.8,0,8.4,No significant weather,1014.2,96,60,75,81.75,3.6,250,2.5,SE
96017,2023-01-11 00:00:00,21.6,30.6,28.4,25.55,21.6,31.6,0,9.3,No significant weather,1013.2,97,65,75,83.5,3.6,270,2,SE
96017,2023-01-12 00:00:00,21.8,31.8,29.6,26.25,21.8,32.8,,7.8,No significant weather,1012.7,95,61,73,81,3.6,300,2.1,SE
96017,2023-01-13 00:00:00,23.4,31.6,27.4,26.45,23.4,31.6,0,9.7,No significant weather,1013.9,93,63,87,84,4.1,290,2.1,SE
96017,2023-01-14 00:00:00,22.8,31,25.9,25.625,22.8,31,,6.7,"TS,RA",1013.4,98,66,91,88.25,3.1,190,1.8,S
96017,2023-01-15 00:00:00,22.8,30.8,28.4,26.2,22.8,30.8,1.4,6.4,TS,1013,98,70,71,84.25,4.1,320,2.5,NW
96017,2023-01-16 00:00:00,23,30.6,25,25.4,23,30.6,0,6.7,No significant weather,1013.9,88,68,94,84.5,4.1,300,2.3,SE
96017,2023-01-17 00:00:00,22.6,29.2,27,25.35,22.6,29.6,9.2,6.4,RA,1014.6,98,67,73,84,3.6,100,1.8,SE
96017,2023-01-18 00:00:00,19.4,29.2,28.3,24.075,19.4,30.4,,6.7,-,1015.1,93,65,71,80.5,4.6,120,2.3,SE
96017,2023-01-19 00:00:00,21.2,31,28.3,25.425,21.2,31,0,6.6,No significant weather,1013.5,90,61,71,78,5.1,140,3.4,SE
96017,2023-01-20 00:00:00,22.7,30.6,29.2,26.3,22.7,30.9,0,7.7,No significant weather,1013.3,92,66,72,80.5,4.6,120,2.8,SE
96017,2023-01-21 00:00:00,23.6,23.4,23.8,23.6,23,24.6,26.5,7.2,No significant weather,1013.4,98,97,98,97.75,3.6,140,2,SE
96017,2023-01-22 00:00:00,23,28.2,29.4,25.9,23,30.6,83.9,0,"TS,RA",1012.3,97,77,73,86,3.6,110,2.5,SE
96017,2023-01-23 00:00:00,23.6,25.3,26,24.625,23,26.2,15.3,3.2,RA,1012.2,95,89,91,92.5,3.1,330,1.2,NW
96017,2023-01-24 00:00:00,23.6,27.8,25.6,25.15,23.2,27.8,18.7,.3,RA,1012,97,77,83,88.5,6.7,120,3.5,SE
96017,2023-01-25 00:00:00,21.8,31,25.6,25.05,21.8,31.4,4,.8,RA,1011.1,93,64,88,84.5,3.1,130,2.1,SE
96017,2023-01-26 00:00:00,22.4,29.2,25.2,24.8,22.4,29.6,48.5,9999,"TS,RA",1011.9,97,72,94,90,4.1,170,2.3,SE
96017,2023-01-27 00:00:00,23,30.8,24.6,25.35,23,31.2,9.4,3.6,"TS,RA",1010.9,98,68,94,89.5,4.6,150,2.2,SE
96017,2023-01-28 00:00:00,23.6,30.8,26.7,26.175,23.6,31.4,7.2,5.7,"TS,RA",1010.2,92,66,85,83.75,4.6,130,3.3,SE
96017,2023-01-29 00:00:00,23.6,28.6,28.4,26.05,23.6,29.5,1.9,4.1,RA,1010.6,92,77,85,86.5,3.6,180,1.7,SW
96017,2023-01-30 00:00:00,23.4,30.6,27.6,26.25,23.4,30.6,3.8,2.3,RA,1012.1,97,72,82,87,4.6,110,3,SE
96017,2023-01-31 00:00:00,24,30.2,23.4,25.4,23.2,30.8,10.3,4.6,-,1012.3,98,74,95,91.25,3.6,130,1.8,SE
96017,2023-02-01 00:00:00,22,31,28.2,25.8,22,31.2,29.2,4.5,"TS,RA",1011.9,98,63,79,84.5,3.1,130,2.2,SE
96017,2023-02-02 00:00:00,22.4,31.8,30.6,26.8,22.4,32.5,1,7.9,RA,1011.7,93,61,68,78.75,3.6,130,1.9,SE
96017,2023-02-03 00:00:00,23.6,31.8,28,26.75,23.6,31.8,,8.7,No significant weather,1011.7,97,64,83,85.25,3.1,150,2,SE
96017,2023-02-04 00:00:00,24.2,29.6,23.6,25.4,23.4,29.8,.5,5.7,-,1011.4,97,71,97,90.5,2.6,150,1.4,S
96017,2023-02-05 00:00:00,23,30.2,24.6,25.2,23,31.2,54.8,3.3,"TS,RA",1011.5,97,69,92,88.75,3.6,30,2.1,E
96017,2023-02-06 00:00:00,22.8,29.6,27.6,25.7,22.8,30.2,48.6,5.4,RA,1012.4,97,70,85,87.25,4.6,120,1.8,SE
96017,2023-02-07 00:00:00,22.2,30.4,26.4,25.3,22.2,31,80.9,1.9,-,1012.4,98,74,91,90.25,2.6,210,1.5,SE
96017,2023-02-08 00:00:00,23.3,28.8,26.6,25.5,23.3,29.8,22.5,6.3,"TS,RA",1011.9,97,81,85,90,2.6,140,1.7,SE
96017,2023-02-09 00:00:00,22,30.6,29,25.9,22,31.2,8888,3.6,RA,1011.6,97,65,79,84.5,4.1,130,2,SE
96017,2023-02-10 00:00:00,24,29.9,23.6,25.375,23.6,29.9,.2,5.8,-,1012.7,96,73,97,90.5,5.1,310,2.1,NW
96017,2023-02-11 00:00:00,22.2,30.6,29.2,26.05,22.2,31,76.5,1.6,"TS,RA",1012.6,98,66,72,83.5,3.6,130,1.9,SE
96017,2023-02-12 00:00:00,23.4,31,29.4,26.8,23.4,31.3,0,7.4,-,1013.3,98,67,76,84.75,3.1,310,1.8,SE
96017,2023-02-13 00:00:00,23,30.5,28.2,26.175,23,31.8,0,8.2,No significant weather,1013.7,97,68,81,85.75,4.1,320,1.9,SE
96017,2023-02-14 00:00:00,23,30.4,29.2,26.4,23,31,8888,4.8,RA,1013.1,97,72,75,85.25,3.1,150,1.7,S
96017,2023-02-15 00:00:00,23.9,29.8,28.2,26.45,23.9,29.8,2.8,6.3,RA,1012.5,88,69,71,79,4.6,120,2.3,SE
96017,2023-02-16 00:00:00,22.8,30.2,28.2,26,22.8,30.8,.3,6.1,No significant weather,1012.8,96,69,81,85.5,4.6,130,2.2,SE
96017,2023-02-17 00:00:00,23,30.2,26.8,25.75,23,30.8,5.8,6.4,RA,1013.3,98,66,89,87.75,3.1,150,1.9,SE
96017,2023-02-18 00:00:00,22.2,30.4,27.6,25.6,22.2,30.4,20.6,4.8,RA,1013.6,97,69,84,86.75,4.1,70,2.3,SE
96017,2023-02-19 00:00:00,22.8,28,29.5,25.775,22.8,30.9,6,6.4,"TS,RA",1013.8,95,73,67,82.5,5.1,100,2.7,SE
96017,2023-02-20 00:00:00,21.7,31.2,29.6,26.05,21.7,31.8,0,6.7,No significant weather,1013.2,96,64,74,82.5,4.1,120,2.1,SE
96017,2023-02-21 00:00:00,23.2,31.6,28.8,26.7,23.2,31.6,0,9.5,No significant weather,1013.8,97,65,77,84,3.1,310,2,SE
96017,2023-02-22 00:00:00,23.4,29.8,30.4,26.75,23.4,31.4,8888,8.7,RA,1013.6,95,71,66,81.75,5.1,130,2.8,SE
96017,2023-02-23 00:00:00,23,31.8,27.2,26.25,23,31.8,8888,10.4,No significant weather,1013.5,93,61,78,81.25,4.1,170,2.6,SE
96017,2023-02-24 00:00:00,22.3,30.8,30,26.35,22.3,31.8,0,8.1,TS,1013.5,92,66,69,79.75,2.6,160,1.7,E
96017,2023-02-25 00:00:00,21,30.6,30.1,25.675,21,31.1,0,5.9,No significant weather,1014.4,91,67,66,78.75,3.1,70,1.9,E
96017,2023-02-26 00:00:00,22.1,28.9,25.4,24.625,22,29,0,9.2,No significant weather,1015.8,87,70,86,82.5,5.1,120,3.1,SE
96017,2023-02-27 00:00:00,22.8,30.8,28.7,26.275,22.8,31.3,2,2.6,RA,1015.7,93,62,74,80.5,5.1,130,3.6,SE
96017,2023-02-28 00:00:00,23,30.8,27.8,26.15,23,31.2,,8.2,No significant weather,1016.3,93,70,80,84,4.6,130,2.4,SE
96017,2023-03-01 00:00:00,23.7,27.4,28.2,25.75,23.7,30.1,8888,3.9,RA,1016.3,94,77,75,85,4.6,100,2.8,SE
96017,2023-03-02 00:00:00,23.4,31.4,29.4,26.9,23.4,32.4,8888,1.9,RA,1014.9,92,62,69,78.75,6.2,130,3.4,SE
96017,2023-03-03 00:00:00,24.4,30.8,26.9,26.625,24.4,31.3,,8.4,No significant weather,1018,94,64,89,85.25,4.6,310,1.9,S
96017,2023-03-04 00:00:00,23.3,31.1,29.6,26.825,23.3,31.6,2.7,4.2,"TS,RA",1016.5,93,62,65,78.25,6.2,120,3.8,SE
96017,2023-03-05 00:00:00,22,31.2,29.2,26.1,22,31.6,0,9.6,No significant weather,1016.9,90,65,70,78.75,6.2,130,3.1,SE
96017,2023-03-06 00:00:00,20.1,31.5,29.2,25.225,20.1,31.6,0,9.2,No significant weather,1015.4,91,60,61,75.75,5.1,120,3.6,SE
96017,2023-03-07 00:00:00,21,31.2,29.4,25.65,21,32.4,,9.9,No significant weather,1014.6,93,56,73,78.75,5.1,120,2.5,E
96017,2023-03-08 00:00:00,22.3,32.4,30.8,26.95,22.3,32.6,8888,7.5,No significant weather,1014.4,92,57,61,75.5,5.1,130,3.1,E
96017,2023-03-09 00:00:00,23.7,30.8,25.8,26,23.7,31.6,0,8.9,-,1013.4,94,71,91,87.5,3.6,120,2.3,SE
96017,2023-03-10 00:00:00,23.2,,25,,23.2,32,16.4,5.8,RA,1013.2,95,,95,,4.1,140,2.2,SE
96017,2023-03-11 00:00:00,23.6,31.2,25.8,26.05,23.6,32.4,19.7,6.2,"TS,RA",1013.8,97,65,89,87,4.6,310,1.8,S
96017,2023-03-12 00:00:00,23.6,31.2,27.4,26.45,23.6,31.2,4,5.3,"TS,RA",1013.5,95,70,88,87,2.6,130,1.8,W
96017,2023-03-13 00:00:00,24,28.4,29.2,26.4,24,29.6,3.5,5.5,"TS,RA",1012.7,97,77,76,86.75,4.6,3,2.1,SE
96017,2023-03-14 00:00:00,21.4,31,29.2,25.75,21.4,32,5,1.5,RA,1011.4,93,64,69,79.75,4.1,120,2.9,SE
96017,2023-03-15 00:00:00,22.6,29.6,30,26.2,22.6,32.2,0,8.8,No significant weather,1012.1,97,71,67,83,3.6,120,2.1,SE
96017,2023-03-16 00:00:00,25,31.6,30,27.9,25,32.8,0,5.5,No significant weather,1012.8,91,57,69,77,4.6,120,3.3,SE
96017,2023-03-17 00:00:00,23.6,32.2,30,27.35,23.6,33,0,8.5,No significant weather,1012.5,95,58,70,79.5,4.6,140,2.8,SE
96017,2023-03-18 00:00:00,24,31.4,26.8,26.55,24,31.4,0,7.8,No significant weather,1011.8,95,69,92,87.75,3.1,70,1.7,SE
